,e,b,k_bind,m,km,n
0,1708.970553907843,1,1,42017.724603102484,2393.1597009675743,2.290615638113858
1,0.1265222176328972,1,1,1914.2892924118896,61328.317391854835,1.3711378071794251
2,4.073265862458837,1,1,35446.19955751556,4340.116299170853,1.2153536880406661
3,0.3616684679398432,1,1,155.06386722445913,2.463633486553815,1.8129831186306349
4,1087.6346492920313,1,1,391135.28602081985,19.908921650739035,1.103952344294245
5,4724.268445265921,1,1,663621.5821326784,0.26314979981146264,1.1888400543211868
6,147.41308856703975,1,1,12244.8202998562,117.75094333524677,3.9184691510307377
7,5.825185504553868,1,1,4375.640239630882,1021.9665160421613,3.6876974063578767
8,31.86881419846886,1,1,25397.479530668796,8.470831325597741,2.2262882042576493
9,5396.436679003686,1,1,10.772517372082913,21015.805822153117,1.545694439516111
10,846.3475274663218,1,1,17.709914786992165,80033.67649723541,3.6976486668884103
11,2088.659440301377,1,1,135.7815358749112,122.67528345888293,2.2176422081649694
12,16.850805119724626,1,1,2679.433148398706,1.6959371298991999,1.526742486366024
13,0.6232629077478443,1,1,133.73619335053056,16.261983942843734,2.472286550468891
14,12661.043763990983,1,1,4498.113127894084,254.33451131929834,1.800511639717468
15,77.30164492102246,1,1,677813.1964989023,1.9971956259082535,2.6632583611828737
16,12519.045991636785,1,1,6.9910694414762835,415.8938556557771,1.9602091393884142
17,59.411381749062095,1,1,214.56607061968288,13.476355801383999,2.602600169948406
18,20.339732903811438,1,1,138.26963718510837,6.46509494024672,1.131862293996484
19,64.86456225908978,1,1,1.1012392984384602,54.915038865612544,1.6353105772289607
20,0.5299409548718513,1,1,3021.257496742525,85359.63710400919,1.4481850166369123
21,0.10226209366441306,1,1,17309.49670420521,0.5942528115234466,1.567157464784784
22,8218.526939735231,1,1,11653.538022868965,62.03047676513858,3.1370202700970733
23,4595.960719259613,1,1,97.31561829345728,1821.379825755118,2.832912235628846
24,38.303954070656275,1,1,18181.081557902446,1.136507066275414,2.1562046532003865
25,7.312240345207377,1,1,4759.451977848908,3.7188791069014786,1.0700508051222912
26,224.022236777723,1,1,622.7939415821241,7.418591693993247,1.775438891199509
